Korszak_Filter,Konfliktus_Filter,Terep_Filter,Matching_Categories_Sorted_String,Image_names,Categories_to_be_generated,Images-to-be-generated,Substring_Count
Hidegháború,Vietnámi Háború,Tundra/Havas Táj,Harcjármű|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Ágyú löveg,tank.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png|howizer.png,6
Hidegháború,Vietnámi Háború,Városi Harc,Harcjármű|Harcjármű|Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Építési kellékek,tank.png|tank.png|tank.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők,tank.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,6
Hidegháború,Vietnámi Háború,Vízközeli,Hajók|Harcjármű modellek|Harcjármű modellek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Repülők,hajo.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|plane.png,Hajók|Harcjármű modellek|Helikopterek|Karakterek|Repülők|Helikopterek,hajo.png|tank.png|helicopter.png|katona.png|plane.png|helicopter.png,6
Hidegháború,Öbölháború (első),Dzsungel/Trópusi Erdő,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők,tank.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,6
Hidegháború,Öbölháború (első),Partraszállás/Vízközeli,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Raketa rendszerek|Építési kellékek|Épületek|Épületek,hajo.png|hajo.png|tank.png|tank.png|tank.png|Raketa rendszerek.png,Hajók|Harcjármű modellek|Raketa rendszerek|Építési kellékek|Épületek|Harcjármű modellek,hajo.png|tank.png|Raketa rendszerek.png|tank.png,4
Hidegháború,Öbölháború (első),Sztyeppe,Harcjármű|Harcjármű|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg,tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg,tank.png|helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,6
Hidegháború,Öbölháború (első),Tundra/Havas Táj,Helikopterek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png,Helikopterek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png,6
Hidegháború,Öbölháború (első),Városi Harc,Harcjármű|Harcjármű|Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Építési kellékek,tank.png|tank.png|tank.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők,tank.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,6
Modern Kor,Afganisztáni Háború,Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png,Helikopterek|Karakterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek,helicopter.png|katona.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png,6
Modern Kor,Afganisztáni Háború,Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|submarine.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|submarine.png,6
