Korszak_Filter,Konfliktus_Filter,Terep_Filter,Matching_Categories_Sorted_String,Image_names,Categories_to_be_generated,Images-to-be-generated,Substring_Count
Első Világháború,Első Világháború,Mérsékelt Övi Síkság/Dombvidék,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,3
Első Világháború,Első Világháború,Partraszállás/Vízközeli,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,5
Első Világháború,Első Világháború,Városi Harc,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,3
Első Világháború,Első Világháború,Vízközeli,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,5
Fiktív,(Fiktív),(Fiktív),Autók|Autók|Hajók|Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók,car.png|car.png|hajo.png|hajo.png|hajo.png|tank.png|tank.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png,Autók|Hajók|Harcjármű modellek|Helikopterek|Karakterek|Star Wars,car.png|hajo.png|tank.png|helicopter.png|katona.png|starwars.png,6
Hidegháború,Afganisztáni Háború,Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png,Helikopterek|Karakterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek,helicopter.png|katona.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png,6
Hidegháború,Afganisztáni Háború,Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Terptárgyak|Ágyú löveg|Helikopterek,hajo.png|submarine.png|helicopter.png|katona.png|howizer.png|helicopter.png,6
Hidegháború,Afganisztáni Háború,Mérsékelt Övi Síkság/Dombvidék,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|Raketa rendszerek.png,6
Hidegháború,Afganisztáni Háború,Sivatag,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|Raketa rendszerek.png,6
Hidegháború,Afganisztáni Háború,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,2
Hidegháború,Afganisztáni Háború,Városi Harc,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Építési kellékek,hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Építési kellékek|Helikopterek,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|helicopter.png,6
Hidegháború,Afganisztáni Háború,Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png,Hajó és tengeralattjáró modellek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Helikopterek,hajo.png|submarine.png|helicopter.png|car.png|plane.png|helicopter.png,6
Hidegháború,Afganisztáni Háború (2001-),Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png,Helikopterek|Karakterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek,helicopter.png|katona.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png,6
Hidegháború,Afganisztáni Háború (2001-),Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Terptárgyak|Ágyú löveg|Helikopterek,hajo.png|submarine.png|helicopter.png|katona.png|howizer.png|helicopter.png,6
Hidegháború,Afganisztáni Háború (2001-),Mérsékelt Övi Síkság/Dombvidék,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak|Ágyú löveg,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|howizer.png,6
Hidegháború,Afganisztáni Háború (2001-),Sivatag,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak|Ágyú löveg,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|howizer.png,6
Hidegháború,Afganisztáni Háború (2001-),Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,2
Hidegháború,Afganisztáni Háború (2001-),Városi Harc,Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Építési kellékek,hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Építési kellékek|Helikopterek|Helikopterek,hajo.png|submarine.png|helicopter.png|katona.png|helicopter.png|helicopter.png,6
Hidegháború,Afganisztáni Háború (2001-),Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png,Hajó és tengeralattjáró modellek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Helikopterek,hajo.png|submarine.png|helicopter.png|car.png|plane.png|helicopter.png,6
Hidegháború,Arab-Izraeli Háborúk,Dzsungel/Trópusi Erdő,Harcjármű|Helikopterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|helicopter.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|helicopter.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Hidegháború,Arab-Izraeli Háborúk,Sztyeppe,Harcjármű|Karakterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|katona.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Karakterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|katona.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Hidegháború,Arab-Izraeli Háborúk,Tundra/Havas Táj,Harcjármű|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Hidegháború,Délszláv Háborúk,Dzsungel/Trópusi Erdő,Harcjármű|Harcjármű|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg,tank.png|helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,6
Hidegháború,Délszláv Háborúk,Sztyeppe,Harcjármű|Harcjármű|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg,tank.png|helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,6
Hidegháború,Délszláv Háborúk,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg,hajo.png|submarine.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,6
Hidegháború,Délszláv Háborúk,Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülő modellek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png|plane.png,Hajó és tengeralattjáró modellek|Helikopterek|Jármű modellek|Repülő modellek|Repülők|Terptárgyak,hajo.png|submarine.png|helicopter.png|car.png|plane.png|plane.png,6
Hidegháború,Hatnapos Háború,Dzsungel/Trópusi Erdő,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Raketa rendszerek,tank.png|tank.png|tank.png|helicopter.png|Raketa rendszerek.png,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Raketa rendszerek,tank.png|tank.png|tank.png|helicopter.png|Raketa rendszerek.png,5
Hidegháború,Hatnapos Háború,Hegyi Terep,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,3
Hidegháború,Hatnapos Háború,Mérsékelt Övi Síkság/Dombvidék,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Karakterek|Karakterek|Raketa rendszerek|Építési kellékek,tank.png|tank.png|tank.png|helicopter.png|katona.png|katona.png|Raketa rendszerek.png,Harcjármű|Helikopter modellek|Karakterek|Raketa rendszerek|Építési kellékek|Harcjármű,tank.png|helicopter.png|katona.png|Raketa rendszerek.png|tank.png,5
Hidegháború,Hatnapos Háború,Sivatag,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Karakterek|Karakterek|Raketa rendszerek|Építési kellékek,tank.png|tank.png|tank.png|helicopter.png|katona.png|katona.png|Raketa rendszerek.png,Harcjármű|Helikopter modellek|Karakterek|Raketa rendszerek|Építési kellékek|Harcjármű,tank.png|helicopter.png|katona.png|Raketa rendszerek.png|tank.png,5
Hidegháború,Hatnapos Háború,Sztyeppe,Harcjármű|Harcjármű|Helikopter modellek|Raketa rendszerek,tank.png|tank.png|helicopter.png|Raketa rendszerek.png,Harcjármű|Harcjármű|Helikopter modellek|Raketa rendszerek,tank.png|tank.png|helicopter.png|Raketa rendszerek.png,4
Hidegháború,Hatnapos Háború,Városi Harc,Harcjármű|Harcjármű|Harcjármű|Helikopter modellek|Karakterek|Karakterek|Építési kellékek,tank.png|tank.png|tank.png|helicopter.png|katona.png|katona.png,Harcjármű|Helikopter modellek|Karakterek|Építési kellékek|Harcjármű|Harcjármű,tank.png|helicopter.png|katona.png|tank.png|tank.png,5
Hidegháború,Hidegháború,Dzsungel/Trópusi Erdő,Helikopterek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,Helikopterek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,3
Hidegháború,Hidegháború,Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Karakterek|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|katona.png,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Karakterek|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|katona.png,5
Hidegháború,Hidegháború,Mérsékelt Övi Síkság/Dombvidék,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Harcjármű|Helikopter modellek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|tank.png|helicopter.png|katona.png|katona.png|katona.png|Raketa rendszerek.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopter modellek|Karakterek|Raketa rendszerek|Terptárgyak,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|Raketa rendszerek.png,6
Hidegháború,Hidegháború,Partraszállás/Vízközeli,Harcjármű modellek|Helikopter modellek|Karakterek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Repülő modellek|Építési kellékek|Építési kellékek|Építési kellékek|Építési kellékek|Épületek|Épületek|Épületek|Épületek|Épületek|Épületek|Épületek|Épületek,tank.png|helicopter.png|katona.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png|plane.png,Harcjármű modellek|Helikopter modellek|Karakterek|Repülő modellek|Építési kellékek|Épületek,tank.png|helicopter.png|katona.png|plane.png,4
Hidegháború,Hidegháború,Sivatag,Hajó és tengeralattjáró modellek|Harcjármű|Karakterek|Karakterek|Karakterek,hajo.png|submarine.png|tank.png|katona.png|katona.png|katona.png,Hajó és tengeralattjáró modellek|Harcjármű|Karakterek|Karakterek|Karakterek,hajo.png|submarine.png|tank.png|katona.png|katona.png|katona.png,6
Hidegháború,Hidegháború,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopterek|Karakterek|Karakterek|Terptárgyak|Terptárgyak,hajo.png|submarine.png|helicopter.png|helicopter.png|katona.png|katona.png,Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopterek|Karakterek|Terptárgyak|Karakterek,hajo.png|submarine.png|helicopter.png|helicopter.png|katona.png|katona.png,6
Hidegháború,Iraki Háború,Dzsungel/Trópusi Erdő,Harcjármű|Harcjármű|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők,tank.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,6
Hidegháború,Iraki Háború,Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,6
